tank.ID,date,night ,night.type,sex,time.tending,mouthing,vig.mouthing,fanning,vig.fanning,anemone.bite
A2:1,4/5/2019,1,no hatch,M,8.3354,2,0,131,0,0
A2:1,4/5/2019,1,no hatch,F,0.731266667,0,0,5,0,0
A2:1,4/8/2019,4,no hatch,M,11.93556667,2,0,193,0,0
A2:1,4/8/2019,4,no hatch,F,0.810966667,0,0,3,0,0
A2:1,4/11/2019,7,no hatch,M,12.88375,2,0,135,36,0
A2:1,4/11/2019,7,no hatch,F,14.33773333,0,0,0,0,1
A2:3,5/18/2019,1,no hatch,M,12.45763333,0,0,102,0,0
A2:3,5/18/2019,1,no hatch,F,14.65486667,1,0,17,0,0
A2:3,5/21/2019,4,no hatch,M,12.42668333,3,0,118,0,0
A2:3,5/21/2019,4,no hatch,F,14.5758,0,0,8,0,0
A2:3,5/24/2019,7,no hatch,M,14.47021667,14,0,234,2,0
A2:3,5/24/2019,7,no hatch,F,14.80815,1,0,8,0,0
B1:2,4/10/2019,1,no hatch,M,14.9899,1,0,65,10,0
B1:2,4/10/2019,1,no hatch,F,0,0,0,0,0,0
B1:2,4/13/2019,4,no hatch,M,14.991,0,0,74,0,0
B1:2,4/13/2019,4,no hatch,F,0,0,0,0,0,0
B1:2,4/16/2019,7,no hatch,M,14.98516667,1,0,126,1,0
B1:2,4/16/2019,7,no hatch,F,0,0,0,0,0,0
B1:5,4/1/2019,1,no hatch,M,14.98645,31,0,26,0,0
B1:5,4/1/2019,1,no hatch,F,14.95678333,4,0,88,5,0
B1:5,4/4/2019,4,no hatch,M,14.98791667,4,0,6,0,0
B1:5,4/4/2019,4,no hatch,F,14.98558333,2,0,207,0,0
B1:5,4/7/2019,7,no hatch,M,14.98575,16,0,37,8,0
B1:5,4/7/2019,7,no hatch,F,14.9537,8,0,164,6,0
B3:2,5/17/2019,1,no hatch,M,14.69635,13,0,139,8,0
B3:2,5/17/2019,1,no hatch,F,0.401483333,0,0,0,0,0
B3:2,5/20/2019,4,no hatch,M,14.99346667,22,0,146,14,0
B3:2,5/20/2019,4,no hatch,F,0,0,0,0,0,0
B3:2,5/23/2019,7,no hatch,M,14.98798333,10,0,344,15,0
B3:2,5/23/2019,7,no hatch,F,0,0,0,0,0,0
B3:4,4/15/2019,1,no hatch,M,0.07765,0,0,0,0,0
B3:4,4/15/2019,1,no hatch,F,14.9799,0,0,280,5,0
B3:4,4/18/2019,4,no hatch,M,0.282283333,0,0,0,0,0
B3:4,4/18/2019,4,no hatch,F,11.59326667,0,0,129,6,0
B3:4,4/21/2019,7,no hatch,M,9.644783333,24,0,149,9,0
B3:4,4/21/2019,7,no hatch,F,4.9929,0,0,59,2,0
C1:4,4/29/2019,1,no hatch,M,5.02575,0,0,46,0,0
C1:4,4/29/2019,1,no hatch,F,0,0,0,0,0,0
C1:4,5/2/2019,4,no hatch,M,14.91928333,31,1,100,3,0
C1:4,5/2/2019,4,no hatch,F,0,0,0,0,0,0
C1:4,5/5/2019,7,no hatch,M,11.89716667,14,0,130,4,0
C1:4,5/5/2019,7,no hatch,F,5.871183333,16,0,32,3,0
C2:2,4/17/2019,1,no hatch,M,2.169516667,0,0,23,0,0
C2:2,4/17/2019,1,no hatch,F,9.625516667,0,0,5,0,0
C2:2,4/20/2019,4,no hatch,M,5.372783333,5,0,81,1,0
C2:2,4/20/2019,4,no hatch,F,0.370316667,0,0,4,0,0
C2:2,4/23/2019,7,no hatch,M,8.066,2,0,92,2,0
C2:2,4/23/2019,7,no hatch,F,1.6959,0,0,6,12,0
C2:3,4/7/2019,1,no hatch,M,11.2715,6,0,102,0,0
C2:3,4/7/2019,1,no hatch,F,3.0851,0,0,8,0,0
C2:3,4/10/2019,4,no hatch,M,14.31381667,3,0,55,0,0
C2:3,4/10/2019,4,no hatch,F,0.274183333,0,0,0,0,0
C2:3,4/13/2019,7,no hatch,M,8.408216667,4,0,54,0,0
C2:3,4/13/2019,7,no hatch,F,1.495416667,0,0,7,0,0
C2:4,4/25/2019,1,no hatch,M,4.123766667,3,0,31,14,0
C2:4,4/25/2019,1,no hatch,F,0,0,0,0,0,0
C2:4,4/28/2019,4,no hatch,M,12.77361667,4,0,33,21,0
C2:4,4/28/2019,4,no hatch,F,1.860316667,0,0,5,4,0
C2:4,5/1/2019,7,no hatch,M,10.74486667,1,0,34,6,0
C2:4,5/1/2019,7,no hatch,F,3.22885,0,0,11,16,0
C3:4,4/14/2019,1,no hatch,M,14.708,45,0,44,1,0
C3:4,4/14/2019,1,no hatch,F,12.43068333,0,0,4,0,0
C3:4,4/17/2019,4,no hatch,M,14.98055,24,0,77,3,0
C3:4,4/17/2019,4,no hatch,F,0.376733333,0,0,2,0,0
C3:4,4/20/2019,7,no hatch,M,11.6701,12,0,182,9,0
C3:4,4/20/2019,7,no hatch,F,0,0,0,0,0,0
D1:3,5/9/2019,1,no hatch,M,11.08523333,11,0,36,0,0
D1:3,5/9/2019,1,no hatch,F,5.229666667,3,0,15,0,0
D1:3,5/12/2019,4,no hatch,M,11.51813333,14,0,77,8,0
D1:3,5/12/2019,4,no hatch,F,2.46225,3,0,12,0,0
D1:3,5/15/2019,7,no hatch,M,13.57708333,1,0,83,12,0
D1:3,5/15/2019,7,no hatch,F,9.142466667,0,0,25,2,0
D2:2,4/24/2019,1,no hatch,M,14.60265,23,0,90,0,0
D2:2,4/24/2019,1,no hatch,F,4.063916667,0,0,6,2,0
D2:2,4/27/2019,4,no hatch,M,14.924,41,0,133,2,0
D2:2,4/27/2019,4,no hatch,F,14.77078333,0,0,2,0,0
D2:2,4/30/2019,7,no hatch,M,14.9873,50,0,86,1,0
D2:2,4/30/2019,7,no hatch,F,14.6196,0,0,0,0,0
D3:1,5/11/2019,1,no hatch,M,14.66685,2,0,137,0,0
D3:1,5/11/2019,1,no hatch,F,2.372016667,0,0,6,0,0
D3:1,5/14/2019,4,no hatch,M,14.99311667,12,0,177,10,0
D3:1,5/14/2019,4,no hatch,F,0,0,0,0,0,0
D3:1,5/17/2019,7,no hatch,M,14.5807,47,0,166,2,25
D3:1,5/17/2019,7,no hatch,F,0.45815,0,0,6,0,0
D3:3,4/23/2019,1,no hatch,M,13.8554,8,0,42,19,0
D3:3,4/23/2019,1,no hatch,F,0,0,0,0,0,0
D3:3,4/26/2019,4,no hatch,M,14.00128333,9,0,41,4,0
D3:3,4/26/2019,4,no hatch,F,0,0,0,0,0,0
D3:3,4/29/2019,7,no hatch,M,14.79108333,11,0,90,13,0
D3:3,4/29/2019,7,no hatch,F,0,0,0,0,0,0
